input,explanations,gold_relations
"TEXT: In 1981 , Mark David Chapman pleaded guilty to killing rock star John Lennon outside Lennon 's New York City apartment building the previous December .",Explanation: Mark David Chapman pleaded guilty to killing John Lennon outside of his New York City apartment building.</s>,"[['Mark David Chapman', 'Kill', 'John Lennon']]"
"TEXT: On this date : In 1758 , the fifth President of the United States , James Monroe , was born in Westmoreland County , Va .","Explanation: James Monroe was born in Westmoreland County, Va., hence he lived in Westmoreland County, Va..</s>","[['James Monroe', 'Live_In', 'Westmoreland County , Va']]"
"TEXT: Kennedy 's assassin , Sirhan Bishara Sirhan , was immediately arrested .",Explanation: Sirhan Bishara Sirhan was the assassin of Kennedy.</s>,"[['Sirhan Bishara Sirhan', 'Kill', 'Kennedy']]"
"TEXT: Mark David Chapman , who shot John Lennon to death 10 years ago , wants the world to know he 's sorry .",Explanation: Mark David Chapman shot John Lennon to death 10 years ago.</s>,"[['Mark David Chapman', 'Kill', 'John Lennon']]"
"TEXT: Police contacted the boy 's mother and were trying to determine where the gun came from , Board of Education spokesman Frank Sobrino said .",Explanation: Frank Sobrino is a spokesman for the Board of Education.</s>,"[['Frank Sobrino', 'Work_For', 'Board of Education']]"
TEXT: The performers left the 28-member Shanghai Opera while the company was in San Francisco en route to Shanghai last week after a series of performances in the United States.,Explanation: The Shanghai Opera is an organization based in Shanghai.</s>,"[['Shanghai Opera', 'OrgBased_In', 'Shanghai']]"
"TEXT: Frank B. Colton , born in Poland , who received patents for oral contraceptives in 1954 and 1955.","Explanation: Frank B. Colton was born in Poland, thus he was living in Poland.</s>","[['Frank B. Colton', 'Live_In', 'Poland']]"
TEXT: Sen. Edward M. Kennedy says his family is disturbed by the decision to establish a museum in the Dallas building from which Lee Harvey Oswald is believed to have shot President John F. Kennedy .,Explanation: Lee Harvey Oswald is believed to have shot President John F. Kennedy.</s>,"[['Lee Harvey Oswald', 'Kill', 'President John F. Kennedy']]"
TEXT: They noted that Chien first went to the U.S. to speak at the American Enterprise Institute in 1991 .,Explanation: The American Enterprise Institute is an organization based in the U.S..</s>,"[['American Enterprise Institute', 'OrgBased_In', 'U.S.']]"
"TEXT: ANNAPOLIS , Md .",Explanation: ANNAPOLIS is a place located in Md..</s>,"[['ANNAPOLIS', 'Located_In', 'Md .']]"
TEXT: A Dallas probate judge gave the Internal Revenue Service until Jan. 15 to prove its claim to proceeds from the sale of the gun Jack Ruby used to kill Lee Harvey Oswald after President John F. Kennedy was assassinated .,Explanation: Jack Ruby is the one who killed Lee Harvey Oswald.</s>,"[['Jack Ruby', 'Kill', 'Lee Harvey Oswald']]"
"TEXT: In 1856 , the 28th President of the United States , Thomas Woodrow Wilson , was born in Staunton , Va .","Explanation: Thomas Woodrow Wilson was born in Staunton, Va., thus we can assume he lived there.</s>","[['Thomas Woodrow Wilson', 'Live_In', 'Staunton , Va']]"
"TEXT: Cetin added that the ceremony , to which he was invited by his American counterpart Warren Christopher , showed once more the importance and weight of Turkey in the Balkans .","Explanation: Cetin lives in Turkey, which is located in the Balkans region.</s>","[['Cetin', 'Live_In', 'Turkey'], ['Cetin', 'Live_In', 'Balkans'], ['Turkey', 'Located_In', 'Balkans']]"
"TEXT: Photo , Dueling Over a GunIt is a scene seared into the memories of Americans old enough to have watched it that November day in 1963 : Jack Ruby firing his .38-caliber Colt Cobra , above , at Lee Harvey Oswald , the man who had assassinated President John F. Kennedy two days earlier.","Explanation: Jack Ruby killed Lee Harvey Oswald, who had assassinated President John F. Kennedy two days earlier.</s>","[['Jack Ruby', 'Kill', 'Lee Harvey Oswald'], ['Lee Harvey Oswald', 'Kill', 'President John F. Kennedy']]"
"TEXT: By the mid-1990s , the department 's scientists plan to have a wind erosion computer system to help make daily estimates of soil losses from wind erosion , says Lawrence J. Hagen , an agricultural engineer with the USDA 's agricultural research service.",Explanation: Lawrence J. Hagen works for the USDA's agricultural research service.</s>,"[['Lawrence J. Hagen', 'Work_For', 'USDA']]"
"TEXT: Warner , a former U.S. ambassador to Switzerland , was convicted on Ohio felony charges in Home State 's collapse , but was acquitted of federal charges in a separate trial.","Explanation: Warner is a former U.S. ambassador to Switzerland, which implies that he lived in both U.S. and Switzerland.</s>","[['Warner', 'Live_In', 'U.S.'], ['Warner', 'Live_In', 'Switzerland']]"
"TEXT: In 1936 , rock legend Buddy Holly was born Charles Hardin Holley in Lubbock , Texas .","Explanation: Buddy Holly, born as Charles Hardin Holley, lived in Lubbock, Texas.</s>","[['Buddy Holly', 'Live_In', 'Lubbock , Texas'], ['Charles Hardin Holley', 'Live_In', 'Lubbock , Texas']]"
"TEXT: The study did not take into account recent promises by Soviet President Mikhail S. Gorbachev to reduce military spending. _When the Soviet total is combined with U.S. military spending of $296 billion , the superpower total exceeded the next largest spender by more than 8 -LCB- to 1 in 1987. France , West Germany and Great Britain assumed the third , fourth and fifth positions , respectively , in military spending in 1987.","Explanation: Mikhail S. Gorbachev is the President of the Soviet, so he lives in the Soviet.</s>","[['Mikhail S. Gorbachev', 'Live_In', 'Soviet'], ['Mikhail S. Gorbachev', 'Live_In', 'Soviet']]"
"TEXT: ( Text ) Seoul , May 3 ( YONHAP ) -- The European Union is poised to stop granting Generalized System of Preference ( GSP ) status to such South Korean products as consumer electronics , cars , semiconductors and footwear , indicating the union no longer sees Korea as a developing country .",Explanation: YONHAP is an organization based in Seoul.</s>,"[['YONHAP', 'OrgBased_In', 'Seoul']]"
"TEXT: ` ` Every politician in the Congress should recognize that to be ignored is the ultimate punishment society can inflict , ' ' said former Sen. Charles McC.",Explanation: Charles McC. is a former senator that worked for Congress.</s>,"[['Charles McC.', 'Work_For', 'Congress']]"
TEXT: Miller is a Wilmington native who was recruited by the FBI shortly after graduating from Brigham Young University in Utah .,Explanation: Miller is a native of Wilmington and therefore lived in Wilmington.</s>,"[['Miller', 'Live_In', 'Wilmington']]"
"TEXT: Crocodiles in Zambia 's Kafue River have devoured five people since the beginning of the year , and villagers have asked the authorities to shoot the reptiles , a local official said today .",Explanation: The crocodiles in the Kafue River are located in Zambia.</s>,"[['Kafue River', 'Located_In', 'Zambia']]"
TEXT: Lima EL COMERCIO,Explanation: EL COMERCIO is an organization based in Lima.</s>,"[['EL COMERCIO', 'OrgBased_In', 'Lima']]"
"TEXT: WHITEFISH , Mont.",Explanation: WHITEFISH is a place located in Mont..</s>,"[['WHITEFISH', 'Located_In', 'Mont.']]"
"TEXT: Rochester 's Peter McWalters , named in 1986 , signaled willingness to form a working partnership with teachers .",Explanation: Peter McWalters is from Rochester.</s>,"[['Peter McWalters', 'Live_In', 'Rochester']]"
"TEXT: The jury convicted Robinson , half brother of the Rev. Jesse Jackson and a Greenville native , of accessory after the fact of assault and battery with intent to kill , in connection with the attempted murder of Janice Denise Rosemond .","Explanation: Robinson is a native of Greenville, meaning he lives there.</s>","[['Robinson', 'Live_In', 'Greenville']]"
"TEXT: An estimated one in four Argentina 's 31 million people lives in poverty ; 820 , 000 people in Buenos Aires Province alone eat at least one meal a day at some 1 , 500 soup kitchens that have opened , according to Gov. Antonio Cafiero.",Explanation: Buenos Aires Province is located in Argentina and Antonio Cafiero is the Governor of Buenos Aires Province and lives in Argentina.</s>,"[['Buenos Aires Province', 'Located_In', 'Argentina'], ['Antonio Cafiero.', 'Live_In', 'Argentina'], ['Antonio Cafiero.', 'Live_In', 'Buenos Aires Province']]"
TEXT: LD2504174394 Moscow ITAR-TASS in English 1654 GMT 25 Apr 94,Explanation: ITAR-TASS is an organization based in Moscow.</s>,"[['ITAR-TASS', 'OrgBased_In', 'Moscow']]"
TEXT: CHICAGO _ Jesse Jackson said Sunday that winning in his native South Carolina may give him the momentum in his adopted home state to upset Illinois Sen. Paul Simon in the primary here on Tuesday.,Explanation: Jesse Jackson is from South Carolina and therefore lives there.</s>,"[['Jesse Jackson', 'Live_In', 'South Carolina']]"
"TEXT: ( Text ) Representatives from Russia , Japan , Poland , U.S. , South Korea , and the PRC recently signed an agreement in the U.S. capital of Washington to regulate Alaska pollock fishing in the central part of the Bering Sea .","Explanation: Representatives from several countries signed an agreement in Washington, which is located in the U.S..</s>","[['Washington', 'Located_In', 'U.S.'], ['Washington', 'Located_In', 'U.S.']]"
"TEXT: The injured man was being treated for stab wounds to the neck and was under police guard , said King County police spokesman Cecil Ray.","Explanation: Cecil Ray is a police spokesman from King County, indicating that he lives in King County.</s>","[['Cecil Ray.', 'Live_In', 'King County']]"
"TEXT: Fort Hamilton , Brooklyn , N.Y. ;",Explanation: Fort Hamilton is a place located in Brooklyn and N.Y.. Brooklyn is also located in N.Y..</s>,"[['Fort Hamilton', 'Located_In', 'Brooklyn'], ['Fort Hamilton', 'Located_In', 'N.Y.'], ['Brooklyn', 'Located_In', 'N.Y.']]"
"TEXT: One of the most notorious to die in the chair was Giuseppe Zangara , executed in 1933 for the shooting death that same year of Chicago Mayor Anton Cermak .",Explanation: Giuseppe Zangara was executed for the shooting death of Chicago Mayor Anton Cermak.</s>,"[['Giuseppe Zangara', 'Kill', 'Chicago Mayor Anton Cermak']]"
"TEXT: That financing will be used to pay the firms participating in the satellite program , with the funds to be released over the next two years , according to Marcio Nogueira Barbosa , director of the INPE .",Explanation: Marcio Nogueira Barbosa is the director of the INPE and therefore works for the INPE.</s>,"[['Marcio Nogueira Barbosa', 'Work_For', 'INPE']]"
"TEXT: HAUPPAUGE , N.Y .",Explanation: HAUPPAUGE is a place located in N.Y..</s>,"[['HAUPPAUGE', 'Located_In', 'N.Y .']]"
"TEXT: ` ` It was the mirror image of yesterday in crude oil and gasoline , ' ' said Bob Baker , who follows oil futures prices for the investment firm Prudential-Bache Securities Inc.",Explanation: Bob Baker works for the investment firm Prudential-Bache Securities Inc.</s>,"[['Bob Baker', 'Work_For', 'Prudential-Bache Securities Inc.']]"
"TEXT: Sirhan apologized repeatedly for killing Kennedy , then the front-runner for the Democratic presidential nomination .","Explanation: Sirhan was the one who killed Kennedy, the front-runner for the Democratic presidential nomination.</s>","[['Sirhan', 'Kill', 'Kennedy']]"
"TEXT: Saudi Arabia is a big , influential Gulf state and agreements between us reflect positively on our fraternal peoples .","Explanation: Saudi Arabia is a big and influential Gulf state, which implies that it is located in the Gulf region.</s>","[['Saudi Arabia', 'Located_In', 'Gulf']]"
TEXT: Assistant Charles A. Palmer of Texas argued that executing Penry would not violate the Constitution 's ban against cruel and inhuman punishment .,"Explanation: Charles A. Palmer is an assistant from Texas, thus he lives in Texas.</s>","[['Charles A. Palmer', 'Live_In', 'Texas']]"
"TEXT: Assipen Director Claudio Manoel Constancio said that the employees had a hormonal dysfunction in their thyroid glands , and that some of them had nodules and cysts in their glands .",Explanation: Claudio Manoel Constancio is the director of Assipen.</s>,"[['Claudio Manoel Constancio', 'Work_For', 'Assipen']]"
"TEXT: A Constitution Bench of the Supreme Court today initiated suo motu "" contempt of court "" proceedings against Acharya Giriraj Kishore , joint general secretary of the banned Vishwa Hindu Parishad ( VHP ) , Mr. G.K. Mahajan , editor , printer and publisher of Kabardar India ( Hindi weekly ) and Mr. Ravi Thakur , reporter of the weekly for publication of certain statements reportedly made by Acharya Giriraj Kishore ( on the Apex Court ) in the edition of the Hindi weekly dated April 11 to 17 .",Explanation: Acharya Giriraj Kishore is the joint general secretary of the Vishwa Hindu Parishad (VHP) and VHP is an abbreviation of the same organization.</s>,"[['Acharya Giriraj Kishore', 'Work_For', 'Vishwa Hindu Parishad'], ['Acharya Giriraj Kishore', 'Work_For', 'VHP']]"
"TEXT: "" For the IDF , it makes sense not to put all of its money into one thing it can 't back out of , "" says Ze 'ev Eytan , a senior researcher and an editor of the annual military survey released by the Jaffe Center for Strategic Studies .",Explanation: Ze 'ev Eytan is a senior researcher and editor at the Jaffe Center for Strategic Studies.</s>,"[[""Ze 'ev Eytan"", 'Work_For', 'Jaffe Center for Strategic Studies']]"
"TEXT: Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;",Explanation: Oswald killed Officer Tippit about 45 minutes after the Kennedy assassination.</s>,"[['Oswald', 'Kill', 'Officer Tippit']]"
TEXT: LD2204095694 Madrid RNE International in Spanish 0800 GMT 22 Apr 94,Explanation: RNE International is an organization based in Madrid.</s>,"[['RNE International', 'OrgBased_In', 'Madrid']]"
TEXT: Oswald had been arrested in the assassination of President Kennedy .,Explanation: Oswald was arrested for the assassination of President Kennedy.</s>,"[['Oswald', 'Kill', 'President Kennedy']]"
"TEXT: On this date : In 1533 , the last Incan King of Peru , Atahualpa , was murdered on the orders of Spanish conqueror Francisco Pizarro .","Explanation: Francisco Pizarro was the Spanish conqueror who ordered the murder of the last Incan King of Peru, Atahualpa.</s>","[['Francisco Pizarro', 'Kill', 'Atahualpa']]"
"TEXT: ( Text ) Beijing , February 21 ( XINHUA ) -- Chinese Vice-Premier and Foreign Qian Qichen left here this afternoon for a fortnight official good-will visit to Pakistan , Bangladesh , Sri Lanka , Maldives and Iran .","Explanation: XINHUA is an organization based in Beijing and Qian Qichen left Beijing for a visit to other countries, thus it can be deduced that Qian Qichen lives in Beijing.</s>","[['XINHUA', 'OrgBased_In', 'Beijing'], ['Qian Qichen', 'Live_In', 'Beijing']]"
"TEXT: Baton Rouge , La. ;",Explanation: Baton Rouge is a place located in La..</s>,"[['Baton Rouge', 'Located_In', 'La.']]"
"TEXT: In the field of physics , Ouyang Zhongcan , a research fellow at the Institute of Theoretical Physics , used the liquid crystal method to come up with a biological membrane model .",Explanation: Ouyang Zhongcan works for the Institute of Theoretical Physics.</s>,"[['Ouyang Zhongcan', 'Work_For', 'Institute of Theoretical Physics']]"
"TEXT: The patient was John Wilkes Booth , who hours earlier had fatally shot President Abraham Lincoln at Ford 's Theater in Washington , D.C. , about 30 miles away .",Explanation: John Wilkes Booth fatally shot President Abraham Lincoln.</s>,"[['John Wilkes Booth', 'Kill', 'President Abraham Lincoln']]"
"TEXT: Visibility is only fair and when those scattered thunderstorms move through it 's very limited , ' ' said Coast Guard spokesman Lt. Pat Philbin.",Explanation: Pat Philbin is a spokesman for the Coast Guard.</s>,"[['Pat Philbin.', 'Work_For', 'Coast Guard']]"
"TEXT: Lee Harvey Oswald , the only official suspect in Kennedy 's assassination , is arrested and taken away in handcuffs ;",Explanation: Lee Harvey Oswald was the only official suspect in Kennedy's assassination.</s>,"[['Lee Harvey Oswald', 'Kill', 'Kennedy']]"
TEXT: Burlington spokesman Gus Melonas said the company was using containment booms to stop the fuel slick from spreading further.,Explanation: Gus Melonas is a spokesman for the company Burlington.</s>,"[['Gus Melonas', 'Work_For', 'Burlington']]"
"TEXT: Their theory that the warheads were blocked by the quarantine is at odds with a recent disclosure by Aleksander Alekseev , the former ambassador to Cuba , who said in a recent Soviet magazine that 42 medium-range missiles were fully operational .","Explanation: Aleksander Alekseev is the former ambassador to Cuba and is from the Soviet, therefore he must live there.</s>","[['Aleksander Alekseev', 'Live_In', 'Soviet']]"
"TEXT: ( Text ) Seoul , May 20 ( YONHAP ) -- The government decided Friday to consider asking the United National Security Council to take additional action should North Korea reject the IAEA 's ( International Atomic Energy Agency ) proposal to suspend the changing of fuel rods at a 5-megawatt reactor in Yongbyon and permit complete inspections .",Explanation: YONHAP is an organization based in Seoul.</s>,"[['YONHAP', 'OrgBased_In', 'Seoul']]"
"TEXT: Reflection "" : "" Reusable Spacecraft "" ) ( Text ) After the completion of the Apollo moon program at the beginning of the 1970s , the U.S. National Aeronautics and Space Administration ( NASA ) and the Department of Defense launched the design engineering of the Space Shuttle reusable space transport system ( MTKS ) .",Explanation: National Aeronautics and Space Administration (NASA) and the Department of Defense are organizations based in U.S.</s>,"[['National Aeronautics and Space Administration', 'OrgBased_In', 'U.S.'], ['NASA', 'OrgBased_In', 'U.S.'], ['Department of Defense', 'OrgBased_In', 'U.S.']]"
"TEXT: In 1846 , ` ` Buffalo Bill ' ' Cody was born near Davenport , Iowa .","Explanation: In 1846, Buffalo Bill Cody was born near Davenport, Iowa, and thus lived in Davenport, Iowa.</s>","[['Buffalo Bill', 'Live_In', 'Davenport , Iowa'], ['Cody', 'Live_In', 'Davenport , Iowa']]"
"TEXT: Let Us Remember That When Electing Parliament on 10 April and the President of Ukraine on 26 June : Ivan Plyushch : 'We Must Bring New Blood to Power As Quickly As Possible ' "" ) ( Text ) As we know , Supreme Soviet Council Ivan Plyushch won the elections .",Explanation: Ivan Plyushch worked for the Supreme Soviet Council and won the elections.</s>,"[['Ivan Plyushch', 'Work_For', 'Supreme Soviet Council'], ['Ivan Plyushch', 'Work_For', 'Supreme Soviet Council']]"
TEXT: Sao Paulo GAZETA MERCANTIL,Explanation: GAZETA MERCANTIL is an organization based in Sao Paulo.</s>,"[['GAZETA MERCANTIL', 'OrgBased_In', 'Sao Paulo']]"
TEXT: Gov. Bob Miller recently signed a bill prohibiting storage of high-level radioactive waste in Nevada.,Explanation: Bob Miller is the governor of Nevada and lives in Nevada.</s>,"[['Bob Miller', 'Live_In', 'Nevada.']]"
"TEXT: King was shot by James Earl Ray on April 4 , 1968 , as he stood on the balcony outside Room 306 at the motel .","Explanation: James Earl Ray was the one who shot King on April 4, 1968.</s>","[['James Earl Ray', 'Kill', 'King']]"
"TEXT: In 1817 , naturalist-author Henry David Thoreau was born in Concord , Mass .","Explanation: Henry David Thoreau was born in Concord, Mass., and thus lived in Concord, Mass..</s>","[['Henry David Thoreau', 'Live_In', 'Concord , Mass']]"
TEXT: BSP floor leader Nora Ananieva told BTA that the NATO ultimatum is rather a preventive measure and it will hardly come to actual air strikes .,Explanation: Nora Ananieva is the floor leader of BSP (Bulgarian Socialist Party).</s>,"[['Nora Ananieva', 'Work_For', 'BSP']]"
TEXT: He said the failure of the talks between the Phnom Penh government and the Khmer Rouge faction in Pyongyang recently was due to the fact that the Khmer Rouge put forward proposals that did not totally lend support to the integrity of Cambodia .,Explanation: The Phnom Penh government and the Khmer Rouge faction are both based in Cambodia.</s>,"[['Phnom Penh government', 'OrgBased_In', 'Cambodia'], ['Khmer Rouge', 'OrgBased_In', 'Cambodia']]"
"TEXT: ` ` The thing to remember is Florida had an education governor , Bob Graham , and he made a substantial investment in schools long before other states were even thinking about reform. ' '",Explanation: Bob Graham was the governor of Florida and therefore lived in Florida.</s>,"[['Bob Graham', 'Live_In', 'Florida']]"
"TEXT: James Helmer , an attorney representing the former manager of the GE plant , said his client had been questioned in connection with the investigation last Oct. 14 by two FBI agents and a representative of the Air Force .","Explanation: James Helmer is an attorney representing the former manager of the GE plant, thus he works for GE.</s>","[['James Helmer', 'Work_For', 'GE']]"
"TEXT: At the request of the Justice Department , all documents in the Divencenzo suit remained under seal until last Friday , when U.S. District Court Judge Carl Rubin denied a federal motion to allow the Justice Department until Feb. 1 to decide whether to join the case as a plaintiff .","Explanation: Carl Rubin is a U.S. District Court Judge, thus he lives in the U.S.</s>","[['Carl Rubin', 'Live_In', 'U.S.']]"
"TEXT: PASADENA , Calif.",Explanation: PASADENA is located in Calif..</s>,"[['PASADENA', 'Located_In', 'Calif.']]"
"TEXT: The controversial 18 January senator went on to say there must be a meeting of the 26 senators so they can reach a compromise. ( passage omitted ) For his part , Sen. Bernard Sansaricq described what happened at the Senate office on 8 March -- when Sen. Firmin Jean-Louis , legitimate president of the Senate of the Republic , came back to his office -- as an impertinence .",Explanation: Bernard Sansaricq and Firmin Jean-Louis both work for the Senate.</s>,"[['Bernard Sansaricq', 'Work_For', 'Senate'], ['Firmin Jean-Louis', 'Work_For', 'Senate']]"
TEXT: Biogas Usage in Ciego de Avila Province Detailed FL1802144094 Havana Radio Rebelde Network in Spanish 1255 GMT 18 Feb 94,Explanation: Radio Rebelde Network is based in Havana.</s>,"[['Radio Rebelde Network', 'OrgBased_In', 'Havana']]"
"TEXT: Chief U.S. Sherman G. Finesilver told the 23 grand jurors their only task during the 18-month term would be ` ` to determine what criminal acts , if any , were committed at Rocky Flats nuclear weapons plant. ' '",Explanation: Chief U.S. Sherman G. Finesilver is living in the United States.</s>,"[['Sherman G. Finesilver', 'Live_In', 'U.S.']]"
"TEXT: Epps credited Norman Vaughan , 83 , of Trapper Creek , Alaska , the last man to see the planes , with keeping the expedition 's hopes alive.","Explanation: Norman Vaughan is a resident of Trapper Creek, Alaska. It can be deduced that Trapper Creek is located in Alaska.</s>","[['Norman Vaughan', 'Live_In', 'Trapper Creek'], ['Norman Vaughan', 'Live_In', 'Alaska'], ['Trapper Creek', 'Located_In', 'Alaska']]"
"TEXT: In 1880 , author-lecturer Helen Keller , who lived most of her life without sight or hearing , was born in Tuscumbia , Ala .","Explanation: Helen Keller lived most of her life in Tuscumbia, Ala..</s>","[['Helen Keller', 'Live_In', 'Tuscumbia , Ala']]"
"TEXT: Former Pepco executive Sharon Pratt Dixon has raised $100 , 261 , while council Chairman David Clarke registered $48 , 875.",Explanation: Sharon Pratt Dixon is a former executive of Pepco.</s>,"[['Sharon Pratt Dixon', 'Work_For', 'Pepco']]"
TEXT: Films include footage of Kennedy 's motorcade rolling through Dealey Plaza and NBC 's live broadcast of Jack Ruby fatally shooting Oswald in the basement of the Dallas Police Department .,Explanation: Jack Ruby fatally shot Oswald in the basement of the Dallas Police Department.</s>,"[['Jack Ruby', 'Kill', 'Oswald']]"
"TEXT: Walking around the assembled governors , Bush also came face to face with the man he defeated last November , Democrat Michael Dukakis of Massachusetts.",Explanation: Michael Dukakis is a Democrat from Massachusetts and he lives in Massachusetts.</s>,"[['Michael Dukakis', 'Live_In', 'Massachusetts.']]"
"TEXT: James Joseph Rovida Jr. , a 55-year-old Los Alamitos truck driver whose life revolved around his wife , his five grown children and his grandchildren , was convicted last month of first-degree murder in the death of Cathy Brock 's husband , Robert Brock .",Explanation: James Joseph Rovida Jr. was convicted of first-degree murder in the death of Robert Brock.</s>,"[['James Joseph Rovida Jr.', 'Kill', 'Robert Brock']]"
"TEXT: In 1880 , author-lecturer Helen Keller , who would live most of her life without sight or hearing , was born in Tuscumbia , Ala.","Explanation: Helen Keller lived most of her life in Tuscumbia, Ala..</s>","[['Helen Keller', 'Live_In', 'Tuscumbia , Ala.']]"
TEXT: London Kanal-6 Television,Explanation: Kanal-6 Television is an organization based in London.</s>,"[['Kanal-6 Television', 'OrgBased_In', 'London']]"
"TEXT: ( Text ) Speaking to newsmen in Jakarta today , Hun Sen , second prime of Cambodia , reiterated that the Phnom Penh government will not hold further negotiations with the Khmer Rouge ( KR ) because it has used all the topics discussed between the two sides at past talks as a platform to support its existence .","Explanation: Hun Sen is the second prime of Cambodia, thus he lives in Cambodia and works for the Phnom Penh government, which is an organization based in Cambodia. The Khmer Rouge and KR are also organizations based in Cambodia.</s>","[['Hun Sen', 'Live_In', 'Cambodia'], ['Hun Sen', 'Work_For', 'Phnom Penh government'], ['Phnom Penh government', 'OrgBased_In', 'Cambodia'], ['Khmer Rouge', 'OrgBased_In', 'Cambodia'], ['KR', 'OrgBased_In', 'Cambodia']]"
"TEXT: In 1905 , actor Henry Fonda was born in Grand Island , Neb .","Explanation: Henry Fonda was born and lived in Grand Island, Neb..</s>","[['Henry Fonda', 'Live_In', 'Grand Island , Neb']]"
"TEXT: The third Weerts child , 12-year-old Tanya , died Saturday evening at Shands Hospital in nearby Gainesville .",Explanation: Shands Hospital is located in Gainesville.</s>,"[['Shands Hospital', 'Located_In', 'Gainesville']]"
"TEXT: In 1879 , humorist Will Rogers was born in Oologah , Okla.","Explanation: Will Rogers was born in Oologah, Okla., so he lived there.</s>","[['Will Rogers', 'Live_In', 'Oologah , Okla.']]"
TEXT: Madrid EFE,Explanation: EFE is an organization based in Madrid.</s>,"[['EFE', 'OrgBased_In', 'Madrid']]"
"TEXT: TUCSON , Ariz .",Explanation: TUCSON is a place located in Ariz..</s>,"[['TUCSON', 'Located_In', 'Ariz .']]"
"TEXT: Clinton Has 'Donated ' $12 Billion to Russia "" ) ( Text ) The Moscow meeting between the presidents of the United States , Russia , and Ukraine has prompted a number of rumors .",Explanation: Clinton is the president of the United States and therefore lives in the United States.</s>,"[['Clinton', 'Live_In', 'United States']]"
"TEXT: Temperatures around the nation at 3 p.m. EDT ranged from 59 degrees at Astoria , Ore. , to 106 degrees at Needles , Calif.","Explanation: Astoria and Needles are places located in Ore. and Calif., respectively.</s>","[['Astoria', 'Located_In', 'Ore.'], ['Needles', 'Located_In', 'Calif.']]"
"TEXT: ` ` We get worse thunderstorms than this , ' ' said Betty Barrow , a 28-year resident who remained on High Island.",Explanation: Betty Barrow is a 28-year resident of High Island.</s>,"[['Betty Barrow', 'Live_In', 'High Island.']]"
"TEXT: Christophersen Says "" ) ( Text ) ( ANSA ) Brussels , May 25 -- Price and exchange rate stability , achieved by reducing the inflation rate by no more than 2-3 percent by 1996 , were among the primary objectives indicated by the European Commission to member states , including Italy , in a program document outlined here today by Commissioner Henning Christophersen .",Explanation: ANSA is an organization based in Brussels.</s>,"[['ANSA', 'OrgBased_In', 'Brussels']]"
"TEXT: On June 23 , a cable arrived at the State Department in Washington from the U.S. Embassy in Ethiopia 's capitol.",Explanation: The State Department is based in Washington and the U.S. Embassy is based in Ethiopia's capitol.</s>,"[['State Department', 'OrgBased_In', 'Washington'], ['U.S. Embassy', 'OrgBased_In', 'Ethiopia']]"
"TEXT: The investigation centers on a check and drain valve for the F404 engine that powers the Navy 's FA-18 fighter , GE spokesman Richard Kennedy said Wednesday .",Explanation: Richard Kennedy is a spokesman for GE.</s>,"[['Richard Kennedy', 'Work_For', 'GE']]"
"TEXT: YAKIMA , Wash.",Explanation: YAKIMA is a place located in Wash..</s>,"[['YAKIMA', 'Located_In', 'Wash.']]"
"TEXT: Art historian and teacher Sydney J. Freedberg , 74 , born in Boston , a noted scholar of the Italian Renaissance who taught at Harvard from 1938 to 1983 with the exception of eight years at Wellesley College.","Explanation: Sydney J. Freedberg was born in Boston, so we can assume that he lived in Boston.</s>","[['Sydney J. Freedberg', 'Live_In', 'Boston']]"
"TEXT: About 2 , 500 people on Grand Isle , a tiny resort area just off the southeast Louisiana coast , were asked to go to the mainland.",Explanation: Grand Isle is a tiny resort area located off the southeast Louisiana coast.</s>,"[['Grand Isle', 'Located_In', 'Louisiana']]"
"TEXT: Teruo Sofue , a staff member of the comprehensive development department at NASDA , said : "" By reinforcing the H-2 rocket , we can expand the range of space development .",Explanation: Teruo Sofue is a staff member of the comprehensive development department at NASDA.</s>,"[['Teruo Sofue', 'Work_For', 'NASDA']]"
"TEXT: An Wang , a native of Shanghai , China , who developed the magnetic pulse controlling device , the principle on which computer memory operates .","Explanation: An Wang is a native of Shanghai, China and he developed the magnetic pulse controlling device. Therefore, he lived in Shanghai, China.</s>","[['An Wang', 'Live_In', 'Shanghai , China']]"
"TEXT: PY1204232594 Buenos Aires CLARIN in Spanish 10 Apr 94 Economic Supplement p 6 , 7",Explanation: CLARIN is an organization based in Buenos Aires.</s>,"[['CLARIN', 'OrgBased_In', 'Buenos Aires']]"
TEXT: SAN FRANCISCO ( AP ),Explanation: AP is an organization based in SAN FRANCISCO.</s>,"[['AP', 'OrgBased_In', 'SAN FRANCISCO']]"
"TEXT: In 1904 , bandleader Jimmy Dorsey was born in Shenandoah , Penn .","Explanation: Jimmy Dorsey was born in Shenandoah, Penn., thus he lived in Shenandoah, Penn..</s>","[['Jimmy Dorsey', 'Live_In', 'Shenandoah , Penn']]"
"TEXT: Larry Martin , circulation director for the publishing company jointly owned by the parent companies of the Star and the evening Tucson Citizen , estimated that 3 , 000 to 5 , 000 bogus copies were placed in as many as 600 Star vending machines .","Explanation: Larry Martin is the circulation director for a publishing company jointly owned by the parent companies of the Star and the evening Tucson Citizen, which implies he lives in Tucson.</s>","[['Larry Martin', 'Live_In', 'Tucson']]"
